"player_name","yearid","name"
"Al Nipper",1983,"Boston Red Sox"
"Al Nipper",1984,"Boston Red Sox"
"Al Nipper",1985,"Boston Red Sox"
"Al Nipper",1986,"Boston Red Sox"
"Al Nipper",1987,"Boston Red Sox"
"Al Nipper",1988,"Chicago Cubs"
"Al Nipper",1990,"Cleveland Indians"
"Bruce Berenyi",1980,"Cincinnati Reds"
"Bruce Berenyi",1981,"Cincinnati Reds"
"Bruce Berenyi",1982,"Cincinnati Reds"
"Bruce Berenyi",1983,"Cincinnati Reds"
"Bruce Berenyi",1984,"Cincinnati Reds"
"Bruce Berenyi",1984,"New York Mets"
"Bruce Berenyi",1985,"New York Mets"
"Bruce Berenyi",1986,"New York Mets"
"Dave Wehrmeister",1976,"San Diego Padres"
"Dave Wehrmeister",1977,"San Diego Padres"
"Dave Wehrmeister",1978,"San Diego Padres"
"Dave Wehrmeister",1981,"New York Yankees"
"Dave Wehrmeister",1984,"Philadelphia Phillies"
"Dave Wehrmeister",1985,"Chicago White Sox"
"Guy Curtright",1943,"Chicago White Sox"
"Guy Curtright",1944,"Chicago White Sox"
"Guy Curtright",1945,"Chicago White Sox"
"Guy Curtright",1946,"Chicago White Sox"
